H508.integrated_snn_res.0.8	H508.EV	H508.LSD1_KD	H508.obs_log2_frac_diff	H508.pvalue	H508.FDR	H508.boot_mean	H508.boot_lower_ci	H508.boot_upper_ci	HT29.integrated_snn_res.0.8	HT29.EV	HT29.LSD1_KD	HT29.obs_log2_frac_diff	HT29.pvalue	HT29.FDR	HT29.boot_mean	HT29.boot_lower_ci	HT29.boot_upper_ci
0	0.186753837407618	0.223571625724538	0.259599214468331	0.0001999800019998	0.0006332700063327	0.260133585016691	0.149157546002805	0.373740413316144	0	0.148406753840295	0.149653979238754	0.0120738909879878	0.426457354264574	0.476628807707465	0.0113379738986661	-0.079562683884306	0.100270357113344
1	0.11910176236498	0.146839635661054	0.302046678820512	0.0001999800019998	0.0006332700063327	0.300336987834872	0.160487721915557	0.445689687619233	1	0.0652532690110448	0.0955264458724666	0.549850010556285	9.99900009999e-05	0.00018998100189981	0.550538775100883	0.421963703186906	0.68243647539311
2	0.0966458214894827	0.0687275738338394	-0.491818327050947	9.99900009999e-05	0.000474952504749525	-0.490328331314826	-0.6816857557115	-0.305463728423598	2	0.0839151961406627	0.0983687592684133	0.229268114861273	0.0007999200079992	0.0013816800138168	0.229548217080923	0.110804505419115	0.349107590602994
3	0.0710631040363843	0.0759039470052443	0.0950742007686083	0.233176682331767	0.260609233194328	0.0957422140666056	-0.106334775480832	0.295372850854588	3	0.0669036435191063	0.143969352446861	1.10560504372974	9.99900009999e-05	0.00018998100189981	1.10811641018978	0.989965632806581	1.2300331320283
4	0.0585559977259807	0.0477504830251173	-0.29430162252782	0.0202979702029797	0.0350601303506013	-0.295392799893884	-0.536901288733031	-0.0500808760082524	4	0.115780119334772	0.0727879387048937	-0.669616234508966	9.99900009999e-05	0.00018998100189981	-0.669041331589546	-0.789314259072221	-0.550173821966571
5	0.0594087549744173	0.0643113441898979	0.114397689592071	0.20977902209779	0.249112588741126	0.111932320169899	-0.109232693484938	0.334338158820136	5	0.0693157293385807	0.065002471576866	-0.0926881958022343	0.142085791420858	0.179975335799753	-0.0929868665752297	-0.23254671228672	0.0447330860651182
6	0.0275724843661171	0.0353298371515319	0.357657834831546	0.0331966803319668	0.0525614105256141	0.358109158322081	0.054223661038553	0.672413458231512	6	0.0812492065507173	0.0519031141868512	-0.646532621395924	9.99900009999e-05	0.00018998100189981	-0.646264737612489	-0.794273346765598	-0.503131061677726
7	0.0147811256395679	0.0242892630416782	0.716562577514879	0.0026997300269973	0.0056994300569943	0.717208172864436	0.312235556698839	1.1391774767499	7	0.0754094198298845	0.0245921898171033	-1.6165445444318	9.99900009999e-05	0.00018998100189981	-1.61909750338882	-1.81104412196238	-1.433053702509
8	0.0559977259806708	0.0347778084460392	-0.687201218937786	9.99900009999e-05	0.000474952504749525	-0.687323886018615	-0.952057210912459	-0.427081455437617	8	0.0545893106512632	0.0470835392980722	-0.213395706270822	0.015998400159984	0.0233822771568997	-0.213623080611764	-0.376961135832425	-0.0526179980599519
9	0.0599772598067084	0.0731438034777808	0.28632003776205	0.0161983801619838	0.0307769223077692	0.288461930665802	0.0705349254984098	0.500108262162597	9	0.0317379713088739	0.0552397429560059	0.799496692346546	9.99900009999e-05	0.00018998100189981	0.799218897708847	0.616669538062969	0.983522742700588
10	0.0596930073905628	0.0695556168920784	0.220605082852467	0.0502949705029497	0.0735080338120034	0.223001404489009	0.00689838937171583	0.436413384946137	10	0.0222165799162118	0.0620365793376174	1.48148239794376	9.99900009999e-05	0.00018998100189981	1.48310583383492	1.28165454240473	1.69345416755683
11	0.0386583285957931	0.018492961634005	-1.06380297377389	9.99900009999e-05	0.000474952504749525	-1.0675101320459	-1.43199612816464	-0.722804433066047	11	0.0525580804874952	0.0181660899653979	-1.53266465683765	9.99900009999e-05	0.00018998100189981	-1.53673984548968	-1.76702144404787	-1.31408489916871
12	0.0346787947697555	0.0361578802097709	0.060256340993238	0.395760423957604	0.417747114177471	0.0599973208068998	-0.236516374465354	0.358108605486762	12	0.0384664212263552	0.0353435491843796	-0.122152690869246	0.159284071592841	0.189149835016498	-0.123030860369257	-0.315959634319754	0.0691571452557316
13	0.0272882319499716	0.0276014352746343	0.0164643660722419	0.504749525047495	0.504749525047495	0.0175268386854335	-0.323336114854442	0.35152073750293	13	0.015615081883966	0.0210084033613445	0.428026386623777	0.0075992400759924	0.0120321301203213	0.431163321064925	0.15077095430152	0.711536061618896
14	0.00795906765207504	0.00220811482197074	-1.84978424503893	0.0003999600039996	0.00108560572514177	-1.93862631640519	-3.04242920816986	-0.985845774709762	14	0.0347848165545258	0.0343549184379634	-0.0179410544117031	0.465653434656534	0.491523069915231	-0.0177838440253217	-0.217187284819818	0.180244886649065
15	0.0235929505400796	0.00855644493513663	-1.46327244394138	9.99900009999e-05	0.000474952504749525	-1.47622966642023	-1.99662561704694	-0.989961896908156	15	0.0237400025390377	0.009268413247652	-1.35692581356644	9.99900009999e-05	0.00018998100189981	-1.36314435652456	-1.69420185934285	-1.04702396877455
16	0.0409323479249574	0.0345017940932928	-0.246570039761552	0.0830916908309169	0.112767294699102	-0.247474454552316	-0.52785614869557	0.0383303905352104	16	0.00634759426177479	0.00840336134453781	0.40475660730093	0.0785921407859214	0.106660762495179	0.408758548653462	-0.0171549728694016	0.849577710933447
17	0.0108015918135304	0.00414021529119514	-1.38346624081639	0.000999900009999	0.00237476252374763	-1.41552961875463	-2.19843984939436	-0.701392394554347	17	0.0134568998349625	0.00704399406821552	-0.933880484573142	9.99900009999e-05	0.00018998100189981	-0.94319901671756	-1.34141279849019	-0.557703037811489
18	0.00653780557134736	0.00414021529119514	-0.659100683429821	0.113688631136886	0.144005599440056	-0.674080302614508	-1.51191458017408	0.127495675777974	18	0.000253903770470992	0.000247157686604053	-0.0388500441746853	0.617838216178382	0.617838216178382	-0.076295573885048	-21.2758509566954	21.2370009280296
