0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
TSPAN8	ANTXR2	FERMT1	GSN	NFIB	CCT5	NCAPH	EXOSC8	ADD3	AKAP7	ARHGAP26	LGALS3	FABP1	MAST4	GPSM2	EPB41L1	EIF2S1	UMPS
ATF3	FAM214A	PLCE1	SEMA5A	ACTL6A	SLC7A5	TFDP1	HSPA8	LGALS3	UQCC2	PRSS3	JPH1	TFDP1	ACTL6A	SLC7A5	NOLC1	KRT19	USP14
CMC2	YPEL2	EFNB2	IDI1	SLC7A1	UMPS	POLD2	PTTG1	MYB	HSPA8	MUC12	ZBTB20	KIF4A	ATF3	ARHGAP5	ELOVL6	KIF21A	ATOH8
NOP16	UMPS	CDC25C	ELOVL6	CDK6	ZNF462	KIFC1	NUP107	ARID5B	OIP5	HACD3	UQCC2	NCAPD3	GSN	NUP107	DACH1	FERMT1	CEMIP2
CREBRF	FTH1	KNL1	KIF21A	MXI1	IDI1	PLCE1	ATP5MC1	KLF12	PPARG	NFIB	IDI1	LMNB1	C10orf99	CSE1L	SLC2A1	GPSM2	AAK1
SEMA5A	PNO1	PPARG	EPB41L1	PDCD4	HSPA8	CENPN	SKA2	NOLC1	ADORA2B	SH3KBP1	ARID5B	SMC6	PAPSS2	MUC12	HACD3	SMC5	NPTX2
HSPA8	HIST1H2AC	ATF3	FDPS	AOAH	GPR160	BCL11B	RUBCNL	MTHFD1L	TMPO	TSPAN8	MYB	CDCA2	SEMA5A	CLMN	RPL22L1	PRSS3	RAB40B
UQCC2	PUM3	HSPH1	MTHFD1L	MIS18BP1	ANXA4	NDC80	PPARG	GGH	GAS2L3	CREBRF	KIF21A	DIAPH3	ZNF462	TSPAN8	GPSM2	TBC1D4	GSN
HACD3	TBC1D4	AKAP7	SRGAP1	DNAJC12	PPARG	FERMT1	MUC12	PSMD11	ESCO2	PTMA	ACTL6A	FERMT1	ANTXR2	FDPS	UMPS	ARID5B	CMC2
PSMD11	IDI1	SEMA5A	PSMD11	MISP	FAM214A	ATP5MC1	PSMD11	FAT1	KIFC1	MISP	SESN3	MYOF	PTMA	PLCE1	GPA33	MTUS1	BCL2L1
UMPS	FDPS	GPR160	UMPS	EIF4EBP1	CREBRF	NCAPD3	SLC7A1	PLAGL1	TSPAN8	MTHFD1L	CCDC47	KIF20B	CLIP2	RAB40B	CREBRF	ADD3	CACNA2D1
FABP1	PRPS2	GTF3A	ACSL3	AKAP7	SLC7A1	FOXM1	FDFT1	EIF2S1	CENPW	PDCD4	UMPS	ASPM	MYOF	DMKN	KIF21A	GPATCH4	STXBP5L
NOLC1	PAPSS2	RUBCNL	EIF2S1	FAM13A	MISP	CIP2A	HAT1	PIK3R1	TCOF1	FDFT1	TSPAN8	KIF14	HBP1	GGH	WDR43	ELOVL6	EMP2
EPB41L1	DKC1	MCM10	NOLC1	HBEGF	ZBTB20	RAD51AP1	PDE8A	UMPS	GPSM2	PPARG	PSIP1	KIFC1	ARID5B	HMGN2	MIS18BP1	KIDINS220	CENPJ
MIS18BP1	CLIP2	KRT19	PUM3	BCL2L1	BCL11B	BRI3BP	TSPAN8	TBC1D4	MUC12	ACSL3	DDX46	TTF2	RPL22L1	PSIP1	MYOF	HACD3	P4HA1
HIST1H2AC	FAT1	GAS2L3	SLC2A1	C1orf21	DDX46	CENPH	CREBRF	KIF21A	GTF3A	UMPS	NOLC1	FOXM1	SH3KBP1	GSN	LMNA	CREBRF	NFASC
DDX46	KIF21A	ELOVL6	HMGCS1	EIF2S1	SRGAP1	NOLC1	CNTRL	RAD21	RPL22L1	HEPH	CCT5	BUB1	GTF3A	ACSL3	UQCC2	ATRX	DDX10
NUCKS1	MBNL2	CYB5B	ARID5B	SPINK1	YPEL2	ATF3	NUCKS1	MEF2C	FERMT1	UQCC2	GPATCH4	HACD3	ATP5MC1	CLIP2	POLD2	HIST1H2AC	ACTL6A
MAML2	VPS13C	ARHGAP11A	HIST1H2AC	ACSL3	KIF21A	MYOF	TCOF1	PDCD4	TTF2	SESTD1	MUC12	EIF4EBP1	ACSL3	CKS2	FDPS	MTHFD1L	SRPK1
GPSM2	NOC3L	C10orf99	CLMN	ZC3H6	ITGA9	BLM	SNRPB	PLCE1	SKA3	SLC7A1	NUCKS1	NASP	NOP16	EIF4EBP1	GPATCH4	ANTXR2	NDUFS6
FDFT1	NFIB	DEPDC1B	FDFT1	TSPAN8	LGALS3	SMC1A	IARS	MXI1	ARHGAP5	PLAGL1	GSN	MCM3	LYAR	SIVA1	MTHFD1L	GSN	KRT20
LDHA	MYB	MTUS1	MYOF	SYBU	PDXK	MIS18A	ZC3H6	PNO1	PRSS3	NEAT1	FTH1	BIRC5	PIGZ	ENO1	NUP107	NEAT1	SBK1
FAM214A	PLCB4	KIF2C	GPA33	EPB41L1	LDHA	PSRC1	XRCC5	UQCC2	CLMN	CNTRL	NR4A1	MKI67	CEP70	SLC1A1	NUCKS1	MYB	RAD21
ACTB	BCL11B	TACC3	LDHA	DDX10	FABP1	SMC4	MTHFD1L	CMC2	SH3RF2	CMC2	FDPS	KIF18B	SLC2A1	ACTL6A	ACSL3	PDCD4	MYT1
BCL11B	SESTD1	NCAPH	INPP4B	RAD21	SMC6	HAT1	PSIP1	PTGES3	BCL11B	GPRC5A	YPEL2	POLQ	NUCKS1	DEK	MBNL2	FXYD3	IL13RA1
PAPSS2	RPL22L1	EPB41L1	PLCE1	NSD2	EXPH5	CDKN3	LGALS3	SATB1	FDFT1	PRAG1	SNTB1	BRI3BP	CCT5	SLC7A1	PHGR1	SH3RF2	CASP4
KIF21A	RUBCNL	ACTB	PAPSS2	SRPK1	ADD3	RUBCNL	GALNT12	C10orf99	FDPS	INPP4B	ATP5MC1	KIF11	BBOX1-AS1	VPS13C	RAD21	PLCE1	PDZRN3
LCN15	SLC7A1	SLC1A1	FTH1	UMPS	HIST1H2AC	SMC2	PDS5B	NOC3L	CENPJ	RUBCNL	NOP16	TTK	PLCB4	EIF2S1	USP14	ACSL3	NUP58
ZNF462	LGALS4	GPSM2	FBXL20	SESTD1	CMC2	LRRCC1	NOP16	DDX10	CYB5B	EEF1B2	HMGCS1	CENPH	KIDINS220	CASP4	NFIB	MXI1	SCGN
ACSL3	NOP16	BCL11B	C10orf99	CACNA2D2	PSMD11	XRCC2	GPRC5A	PDXK	DBF4	HIST1H2AC	MTHFD1	PSIP1	MYC	BCL2L1	EIF2S1	NOLC1	DSG3
MTUS1	GPSM2	DMKN	MBNL2	SPDEF	TRAP1	HACD3	DNMT1	MBNL2	POC1A	ENO1	PDCD4	PDS5B	ARHGAP18	BMP2K	SLC39A5	SLC12A2	NEAT1
MBNL2	PIK3R1	SH3RF2	SH3RF2	EEF1B2	MAST4	TYMS	KIDINS220	EIF4G1	SNRPB	MBNL2	MIS18BP1	KNL1	UQCC2	AREG	PIK3R1	USP14	SESN3
PPARG	AKAP7	TXN	CSE1L	BCL11B	FXYD3	TCOF1	SLC1A1	MISP	KLF12	C1orf21	HBEGF	ARHGAP11A	RUBCNL	NUCKS1	PRSS3	ALDH18A1	EIF4EBP1
ANXA4	ARHGAP5	TPX2	CNTRL	LMNA	MBNL2	LMNB1	PRAG1	PSMA7	STXBP6	PSMD11	PSMD1	BLM	EBP	PRSS3	FOSL1	PUM3	PTPRN2
ACTL6A	DDX10	CKS2	UQCC2	TBC1D4	KRT19	DTYMK	ELOVL6	SESTD1	PARPBP	EIF2S1	PRSS3	SNRPB	BCL11B	PTBP3	GALNT12	ZBTB20	RBBP8
SH3KBP1	ATRX	INPP4B	L3MBTL3	UCP2	CLMN	GPA33	ACAT2	IDI1	PSMD11	FERMT1	DEK	DDX46	MXI1	TJP3	CCDC47	FOS	BMP2K
MTHFD1	FDFT1	NEO1	KIDINS220	UQCC2	PRPS2	DDX46	EMP2	BMP2K	HSPH1	CCT3	STXBP6	TPX2	ANXA4	ATF3	CLIP2	ZNF462	PNO1
GSN	KIDINS220	BRIP1	CMC2	MAST4	TNFRSF11A	PSIP1	FXYD3	TXN	AMD1	FAM13A	KRT19	SKA2	TFCP2L1	PSMA7	ITGA9	PIK3R1	CDK5RAP2
INPP4B	ARID5B	PDCD5	DDX46	WNT4	DDX21	ANXA4	VPS13C	HSPA8	SMC2	TNFRSF11A	AMD1	DEK	TINAG	TNFRSF11A	LGALS3	ALDH1A1	MAP1B
IDI1	TSEN2	PSMD11	FXYD3	CASP4	ALDH18A1	MYB	MCM7	KIAA0319L	SLC7A1	MIS18BP1	DDX21	ZNF462	SMC6	PLCD3	UBE2H	GALNT12	ESRRG
CLIP2	ATP5MC1	SLC4A7	PNO1	PDS5B	NUCKS1	VRK1	TJP3	CEP70	GPR160	FXYD3	PSMB3	KIF22	SLC12A2	DDX46	CNTRL	RASSF6	CD44
MUC12	CSE1L	ME1	ANTXR2	KIF22	MUC12	TBC1D4	MCM3	ANXA4	LDHA	TXN	EBP	VAV3	PSMD11	USP14	ATP5MC1	FDPS	NSD2
MAST4	KRT19	AMD1	LGALS3	SYP	ATRX	PLCB4	ARHGAP5	BCL11B	TNFRSF11A	PDE8A	EPB41L1	CENPF	NOC3L	TFCP2L1	SLC16A5	MAML2	IGSF9
KIDINS220	ARHGAP26	NDC80	ATP1B1	YPEL2	ACTB	PLAGL1	TFDP1	PLA2R1	CKS1B	AAK1	TJP3	NUSAP1	ACTB	TEX30	C1orf21	ENO1	GALNT12
CFTR	SLC4A7	LGALS4	HACD3	PDE5A	SH3KBP1	PRPS2	DDX46	CSE1L	XRCC6	PNO1	HEPH	NSD2	TMEM54	HMGCS1	TSPAN8	EXPH5	UQCC2
PLAGL1	SLC1A1	PDXK	FAM214A	PRAG1	PLCB4	YPEL2	PRPS2	NFE2L3	EPB41L1	GPSM2	MGAT4A	RPL22L1	VAV3	ALDH18A1	CSE1L	NFIB	RCAN2
PIK3R1	LYAR	RMI2	VAV3	CCT3	POLD2	PAPSS2	SLC16A5	ME1	MCM7	EPHX2	SRGAP1	BCL11B	PLAGL1	LGALS4	DSG3	PNO1	HACD3
WDR43	KIAA0319L	TNFRSF11A	PDCD4	SMCHD1	PNO1	CFTR	IDI1	MYOF	PLCB4	NUCKS1	VPS13C	MSH2	HIST1H2AC	GALNT12	PUM3	UBE2H	LINC00907
HMGCS1	TNFRSF11A	ILF2	CCDC47	PTBP3	RIF1	NCAPG	PARPBP	SYNE2	TSEN2	SRI	RUBCNL	CDK1	ZC3H6	FCGRT	PNO1	FAM155A	PLCB4
GPR160	MTUS1	USP14	MAML2	RASSF6	RASSF6	NASP	NEO1	RBBP8	SPC25	DKC1	LMNA	GPA33	UMPS	IL6ST	FAT1	PHGR1	SIVA1
FOSL1	ZBTB20	FDFT1	SNTB1	CLMN	VPS13C	MKI67	PSMD1	GPA33	MTUS1	SLC1A1	AOAH	PRPS2	SNTB1	CEP70	MAML2	CLMN	DNAJC12
RPL22L1	EXPH5	KIF18B	ATRX	TLL2	MYB	SLC1A1	ACVR1C	MEF2D	SLC1A1	CSE1L	FDFT1	GMDS	DEK	ACAT2	KCNQ1	CLIP2	PKDCC
VPS13C	NFE2L3	PTPRD	ANXA4	ALDH18A1	XRCC6	TXN	GMNN	KDM4B	FAM111B	XRCC6	PNO1	MYB	PDXK	PNISR	CLMN	EEF1B2	CKAP5
HEPH	AMD1	STXBP6	EXPH5	ARID5B	MYOF	MCM3	HSPH1	YPEL2	DDX21	GALNT12	FERMT1	ESCO2	PUM3	NFE2L3	MFSD14B	EIF4EBP1	HID1
RASSF6	ILF2	ADORA2B	NOC3L	GPRC5A	EIF2S1	PIF1	HEPH	ARHGAP5	PNO1	PHGR1	MBNL2	TSPAN8	CFTR	EPB41L1	SEMA5A	NASP	FOS
FDPS	L3MBTL3	AURKB	MAST4	USP14	SEMA5A	EIF4EBP1	MBNL2	NUCKS1	WDR43	ARHGAP5	SH3RF2	CENPJ	XRCC6	YPEL2	NQO1	NDUFS6	SMCHD1
PTMA	ITGA9	PLCB4	WDR43	RHOBTB3	NOP16	RIF1	RPL22L1	ALDH1A1	MYOF	ARID5B	SH3KBP1	SLC7A1	DSG3	PAPSS2	SLC7A1	CEP70	PDK1
KLF12	FABP1	MYBL2	RPL22L1	MTHFD1L	FERMT1	SMC5	SNTB1	SRGAP1	SH3KBP1	ROCK2	PHGR1	PLCB4	MAML2	HBEGF	ATRX	SNTB1	RHOBTB3
ARID5B	SATB1	NCAPG	CEP70	ANXA2	PRKACB	MCM8	MIS18BP1	FERMT1	ACTB	KLF12	DDB2	LRRCC1	ARHGAP26	KRT19	FDFT1	TXN	DLL3
PNO1	ADORA2B	MYB	GPR160	MYB	FAT1	RRM1	HMGCS1	LGALS4	CCDC18	KCNQ1	MTUS1	TEX30	RASSF6	SESTD1	SLC12A2	WDR43	ERH
EXPH5	GPA33	DDX21	TSPAN8	GPA33	HBP1	UMPS	ENO1	RUBCNL	DEK	KIDINS220	ME1	CEP55	SLC1A1	PRKACB	EXPH5	SRPK1	PTGES3
ATP5MC1	CCDC47	FXYD3	PIK3R1	ANXA4	L3MBTL3	ENO1	SRPK1	CDK6	PSMD1	PUM3	LGI4	GALNT12	C1orf21	KRCC1	FXYD3	C15orf48	PSMA7
EIF2S1	EIF2S1	UQCC2	DSG3	PLCB4	C1orf21	HBEGF	PLAGL1	ADORA2B	PTMA	EXPH5	SLC7A1	SRPK1	GALNT12	FOS	INPP4B	ANXA4	HSPH1
VAV3	DDB2	MFSD14B	TRAP1	ELF1	PTGES3	SH3KBP1	ME1	GPR160	C21orf58	SLC16A5	MAST4	MIS18A	MTHFD1	ITGB3BP	RIF1	SLC7A5	GDF15
PDE8A	FERMT1	TJP3	NUP58	KRT18	PDCD4	XRCC5	SLC4A7	FDPS	FTH1	RPL22L1	MAML2	TBC1D4	SESTD1	GCLM	NDUFS6	ILF2	GPR173
PRPS2	PTGES3	PRSS3	AMD1	CBFA2T3	ACTL6A	DIAPH3	DHFR	MAML2	PDCD5	C10orf99	LPCAT2	NUP107	PDS5B	SRRT	S100A6	RPL22L1	PLIN2
SLC2A1	H2AFJ	CEP55	FNDC3A	PTGES3	SESTD1	DEK	SRRT	MIS18BP1	SLC16A5	BAZ2B	CHCHD10	VRK1	ELOVL6	HBP1	CEP350	ARHGAP18	ITGB3BP
HBP1	DACH1	TROAP	CREBRF	LGALS3	MEF2C	PPARG	STAG1	PUM3	ENO1	CLIP2	BLMH	RIF1	CHCHD10	AC105460.1	DKC1	FDFT1	ROCK2
CSE1L	PLCE1	HBEGF	PIGZ	SRI	KIDINS220	SRPK1	MZT1	FOSL1	RUBCNL	BAZ1B	TRAP1	PARPBP	LDHA	SRGAP1	SMC5	EFNB2	NASP
GALNT12	GPATCH4	KIF23	PDXK	RAB40B	GDF15	ZC3H6	RIF1	VSNL1	SNRPD1	RIF1	TMCC3	XRCC5	KLF5	VAV3	TBC1D4	TJP3	GRIK2
