0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ITPR2	TNS4	MYRFL	MAML2	ATAD5	NUCKS1	CFTR	LMO4	ANO1	HMGN3	CD82	MKI67	CENPJ	USH1C	DEK	LMO4	NUDC	NEDD1
ACYP1	LGALS4	ANP32E	TTF2	RFC3	MYLK	IFI6	MAML2	TACC1	ANXA4	HAT1	POMP	LMNB1	S100P	TM4SF4	CSE1L	PPIH	HMGN3
ANXA4	ANXA4	ST3GAL1	BUB1B	DSCC1	HMGN3	HMGN3	LGALS4	LMO4	MRPL13	MRE11	KIF11	CENPW	STAT1	MND1	HERC6	POMP	ETS2
PAPSS2	LGR4	CSE1L	KIF23	CENPW	ANP32B	MYRFL	CFH	PPIH	PIK3R1	AGR3	NCAPD3	VRK1	LMO4	RFC3	SAMHD1	BCAS1	PRKDC
MAML2	HSPG2	LRP8	PARPBP	RAD51AP1	RHOBTB3	PTMA	ALDH1A1	BTBD16	CCDC34	RNASEH2B	SLC12A2	CENPE	RHBDL2	NCAPH	PIK3R1	EPB41L1	TOX3
TNS4	KCTD3	FDPS	KIF18A	CENPJ	KCTD3	ITGA1	CFTR	BCAS1	PLK2	TMPO	NCAPG2	KIF22	ZBTB20	ATAD5	SLC12A2	ONECUT2	F5
MRE11	CFTR	BCAS1	TSPAN8	GTF3A	HSPG2	NAALADL2	SSFA2	ST3GAL1	ITGA1	OAS2	TOX3	FAM83D	ADAMTS6	KIF11	LGALS4	BTBD16	ANXA4
GTF3A	CSE1L	MAML2	DBF4	TK1	CA12	MRPL13	ITGA1	ACTB	HERC6	HERC6	CDK5RAP2	MKI67	ENC1	FRY	IDH2	PHIP	SMCHD1
MRPL13	HMGN3	MALAT1	ASPM	EPSTI1	TESC	CSE1L	NUDT4	IFI44	HS3ST1	HOXB3	CENPN	ITGB3BP	MYRFL	POLQ	ITPR2	CEP126	FRAS1
MX2	SIPA1L2	PLK2	SLC12A2	EZH2	SLC1A1	RNASEH2B	RABAC1	NAALADL2	NUDC	KCTD3	SKA3	CDCA8	SLC7A11	PAPSS2	SIPA1L2	JADE1	CACNA2D2
PLK2	ITPR2	PIK3R1	CIT	SLC12A2	DYNLL1	RHOBTB3	XAF1	ANP32E	PRKDC	FDPS	ACTB	TTK	CD82	IQGAP2	COLCA2	CFH	UBE2L6
CFH	ADAMTS6	ENC1	LGR4	NASP	SULT2B1	HNF1B	HMGN3	MYLK	LMO4	CA12	LGR4	NDC80	ANXA4	ATAD2	ROR1	RABAC1	GTF3A
RIF1	RPS6KA5	SULT2B1	TPX2	IFI44L	ENC1	TNS4	ACYP1	HS3ST1	CTTNBP2	CBX5	DEK	IQGAP2	PLD1	IFI44L	HMGN3	ACYP1	KCTD3
BTBD16	IPO5	CFH	FANCI	ENC1	KRT19	ARHGAP29	HSPG2	CFH	RNASEH2B	PIK3R1	ALDH1A1	TTF2	RIF1	SCML1	ACYP1	PCNT	HERC6
ALDH1A1	ST3GAL1	IFI44L	H2AFX	ALDH1A1	ITGA1	IFI44	SH3PXD2A	VSIG2	OAS2	JUND	BCAS1	NASP	ETS2	TMPO	ALDH1A1	HGD	NAALADL2
SNCG	PRKDC	ACYP1	CKAP2L	GMNN	PHIP	LGALS4	SIPA1L2	PDS5B	CSE1L	H2AFV	RAD51AP1	EZH2	ONECUT2	CDK5RAP2	IFI44	CRYBG1	ATP11C
