0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SARS	TESC	LAP3	ARL6IP4	MND1	TFPI	EIF2AK2	SLC1A1	CSE1L	GSTK1	ZNF143	ADAMTS6	ARHGAP18	GARS	ENC1	CMSS1	ADAR	ELAVL4
H2AFV	F5	OAS1	ATP1B1	CD44	ADD3	GPX2	SP100	TM4SF4	F5	SKAP1	PPA1	EPS8	ZNF143	ARHGAP29	S100P	LAP3	TPM1
ARL6IP4	CD44	SLC12A2	UBE2T	SPRED1	PLSCR1	CHPT1	SNHG8	ARHGAP18	TM4SF4	S100P	PSAT1	ARL6IP4	HMGA1	CHPT1	BCAR3	GNAI1	PAX4
HSPD1	CDKN2A	ARL6IP4	ALDH1A1	ACTG1	ADAR	CDKN2A	ETS2	ACTG1	RABAC1	CHPT1	IQGAP3	KIF14	PIK3R1	SELENOF	DDX60	GPX2	SP100
TESC	DCBLD2	PLAUR	PKIB	IQGAP2	KRT19	HSPA9	HSPA8	PLA2R1	PKIB	TMSB4X	ALDH1A1	TRIB3	CCNI	MICAL2	RNF213	TMEM45B	SMC2
ATP1B1	S100A10	NUDT4	ARHGAP18	SNTB1	SP100	PARP12	DBI	SMC4	UBC	ASNS	TMPO	NCAPG2	PSAT1	ASPHD1	TSPAN8	MYRFL	CA8
TMEM45B	SP100	KRT20	CHPT1	SP100	PITPNC1	PAPSS2	TFPI	MICAL2	NSD2	H2AFV	RPL28	SPC25	MAML2	ANXA2	ASNS	HSPA8	LINC02197
C1orf21	ANXA2	ANXA2	NUDT4	TRIB3	SNTB1	ZNF143	ROR1	PAPSS2	RAVER2	ACYP2	CDKN2A	ADD3	FA2H	HSPD1	TESC	ACTL6A	SYNE2
LGR4	ASNS	ASPHD1	HJURP	PPARG	SLC7A5	ENO1	ISG20	SH3D19	ANXA2	ARHGAP18	STIL	SPRED1	RBCK1	DBI	ATP1B1	SMC4	BCAM
GARS	TMSB10	OPTN	TTK	CFTR	ARL6IP4	CD44	ARL6IP4	TFPI	SPRED1	PARP14	HOXB3	CFTR	CSE1L	PARP12	ASPHD1	ZNFX1	EPSTI1
PLAUR	ETS2	ACSL5	ZNF143	EIF2AK2	TSPAN1	SARS	ARID5B	HOXB3	TMSB4X	LAMB1	ADAR	SLC7A1	CMSS1	LAMB1	GSTK1	UACA	EZH2
HSPA9	EIF2AK2	PNPT1	CFH	PLK2	XRCC4	SNHG8	C12orf57	CDKN2A	ETS2	CMPK2	IQGAP2	SLC7A11	ADAR	PKIB	MYRFL	HS3ST1	NRGN
S100P	PRKDC	RNF24	KIF11	SLC7A11	CDKN2A	C1orf21	PLA2R1	LAMB1	CA8	PDLIM1	SPC25	SARS	SP100	TRPS1	CHPT1	VSIG2	CTSC
ITGA3	POLR2L	ALDH1A1	SLC12A2	FANCI	GSTK1	PPA1	MUC13	SPRED1	NUDT4	GARS	H2AFV	IQGAP2	SELENOF	HSPA8	AGR3	MX2	C12orf57
PLK2	SH3KBP1	S100P	KNL1	TK1	ANXA2	ARHGAP29	ONECUT2	GARS	PPARG	OAS1	SEMA3C	PNPT1	LIMCH1	CMSS1	CSE1L	AL445524.1	XRCC4
MICAL2	ALDH1A1	ACYP2	CA12	PIF1	ZNF143	DEK	TMEM54	LMO4	TMSB10	DDX58	CFH	CHEK1	GTF2I	NUDT4	RBCK1	EXOSC8	HNF4A
AGR3	ANXA3	TMPRSS4	CKAP2L	LGR4	PLAUR	S100P	GNAI1	PLK2	CDKN2A	TFDP1	SMC4	PPARG	GSTK1	PIK3R1	SBSPON	PRKDC	IFI44
ENO1	ARHGAP23	CHPT1	HSPD1	RAVER2	TESC	EXOSC8	PIK3R1	BMP4	JUND	LIMCH1	ARHGAP18	TMEM45B	ASNS	KRT20	PADI1	IFI35	CHPT1
CDKN2A	PLA2R1	MYRFL	CDCA8	SKA3	ISG20	HS3ST1	ARHGAP18	SH3KBP1	H2AFV	XRCC4	PMEPA1	ACSL5	SNHG8	PPARG	SPRED1	GRAMD1B	DLL1
SLC7A1	TSPAN8	ASNS	TFPI	ASPHD1	MYH14	ANXA2	CA12	ANXA3	SBSPON	GSTK1	LAMB1	POLQ	SH3KBP1	PITPNC1	PARP12	SMARCAD1	FLNA
TRIB3	SARS	USH1C	SBSPON	S100P	TRIB3	ANXA3	TFDP1	CA12	EZH2	DYNLL1	SLC7A5	TMEM54	EXOSC8	TSPAN3	CD44	ANXA2	OAS3
LAMB1	HSPA8	TKT	ATXN1	ASF1B	WARS	GARS	EXOSC8	TESC	ATXN1	ENO1	EPS8	ARHGAP29	EPS8	CSE1L	PMEPA1	SORT1	CADPS
SH3D19	TSPAN3	TSPAN8	AURKB	NCAPG2	PIK3R1	TFDP1	CSE1L	CFH	ONECUT2	OPTN	TK1	TMSB10	MSN	FYN	GNAI1	DEK	NEURL1
KRT20	TMEM54	TM4SF4	CD44	CA12	TMPRSS4	SLC12A2	GPX2	S100P	PIK3R1	RASEF	ZNF143	ANXA3	USH1C	CDKN2A	ADAMTS6	NBAS	GTF2I
SAMD12	DDX60L	SLC7A5	KIF4A	CFH	NFIA	CSE1L	PPARG	ADAR	SNHG8	ISG20	PPARG	GARS	IRS1	SPRED1	HSPA9	ACSL5	SELENOF
PPARG	HERC6	SH3D19	CIP2A	EPS8	MUC13	ATXN1	ADAR	TRPS1	SEMA3C	SERPINB1	ASF1B	KIF2C	KITLG	HS3ST1	MNAT1	SEMA3C	SMC6
CD44	SPRED1	TMSB10	RNF24	MKI67	CMSS1	CALM1	PLA2G16	TMPRSS4	MLPH	CD44	GSTK1	TPX2	IDH2	SULT2B1	DDX58	MIR222HG	PLCB4
C12orf57	TFDP1	CA12	EIF2AK2	CHEK1	CRYBG1	ARL6IP4	WARS	TKT	PLA2R1	RSAD2	MICAL2	TSPAN8	FOS	GTF2I	RNF24	CTSC	ZNRF3
