comparison	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	avg_log2FC
Early_EEC_vs_Goblet	C2orf54	1.67954738666615e-35	0.717582246100566	0.578	0.112	3.26688762180432e-31	1.03525234787925
Early_EEC_vs_Goblet	PPL	8.27036339933805e-24	0.715506449714365	0.556	0.161	1.60866838480524e-19	1.03225760672698
Early_EEC_vs_Goblet	XRN2	2.64684896823314e-23	0.713189316522351	1	0.553	5.14838592811028e-19	1.02891469016179
Early_EEC_vs_Goblet	KDM1A	1.52640653325132e-18	0.712225718223777	0.767	0.419	2.96901334782714e-14	1.02752451167502
Early_EEC_vs_Goblet	CDHR3	2.62622313940724e-71	0.710238093839832	0.456	0.016	5.10826662846101e-67	1.02465697583316
Early_EEC_vs_Goblet	RGS4	1.19133154306922e-72	0.709676482511156	0.333	0	2.31725898442394e-68	1.02384674195437
Early_EEC_vs_Goblet	MEX3A	2.3086778326836e-27	0.707179867578595	0.622	0.175	4.49060925235286e-23	1.02024488797215
Early_EEC_vs_Goblet	XRCC5	1.20962226652596e-26	0.705199628898801	1	0.774	2.35283627061964e-22	1.01738800744904
Early_EEC_vs_Goblet	PBXIP1	3.81881389861841e-21	0.704450913849527	0.589	0.208	7.42797491420267e-17	1.01630783996041
Early_EEC_vs_Goblet	NR2F2	3.88208711159163e-18	0.700292903700864	0.811	0.455	7.55104764075688e-14	1.01030909933897
Early_EEC_vs_Goblet	YWHAQ	5.82022772208044e-23	0.70003324486578	1	0.912	1.13209249422187e-18	1.00993449082527
Early_EEC_vs_Goblet	RERE	1.19853581870945e-25	0.699986484210187	0.889	0.434	2.33127202097175e-21	1.00986702945934
Early_EEC_vs_Goblet	FAM126A	1.50155120597762e-53	0.699668569726504	0.389	0.019	2.92066725074708e-49	1.0094083758103
Early_EEC_vs_Goblet	CHD4	8.54208711862975e-19	0.697128114392103	0.844	0.524	1.66152136544467e-14	1.00574327349776
Early_EEC_vs_Goblet	CTXN1	4.69961973601018e-25	0.696969283892502	0.533	0.143	9.14123034851341e-21	1.00551412952364
Early_EEC_vs_Goblet	MTSS1	7.47437245603887e-17	0.695286570827107	0.511	0.184	1.45384018642412e-12	1.00308648772896
Early_EEC_vs_Goblet	DUSP6	1.68867804413554e-20	0.694510070096275	0.733	0.357	3.28464766364803e-16	1.00196623397534
Early_EEC_vs_Goblet	CETN2	8.16504544870793e-21	0.693365449686644	0.711	0.331	1.58818299022818e-16	1.00031489578667
Early_EEC_vs_Goblet	SMARCC2	6.04323680674179e-18	0.691673060603995	0.644	0.29	1.17546999127935e-13	0.997873294449875
Early_EEC_vs_Goblet	IL13RA1	2.05615416158556e-16	0.686173508569208	0.911	0.715	3.99942545970008e-12	0.989939118002177
Early_EEC_vs_Goblet	VPS13C	3.2059313983847e-21	0.680568398353085	0.844	0.448	6.23585716299808e-17	0.98185265328974
Early_EEC_vs_Goblet	HOXB9	2.37710422001932e-18	0.679063507173665	1	0.675	4.62370541835959e-14	0.979681554248113
Early_EEC_vs_Goblet	MLF1	3.38836232254327e-14	0.675772226089592	0.5	0.209	6.59070355357891e-10	0.97493323934995
Early_EEC_vs_Goblet	PDS5B	1.59141003057759e-18	0.675753752557545	0.633	0.289	3.09545165047647e-14	0.974906587676877
Early_EEC_vs_Goblet	SMARCA1	1.11519411668334e-18	0.675392286875295	0.656	0.271	2.16916407636076e-14	0.974385102929645
Early_EEC_vs_Goblet	TBCC	1.0870074445598e-17	0.674123692910443	0.633	0.296	2.11433818041327e-13	0.972554908707651
Early_EEC_vs_Goblet	RCN2	9.05016070600011e-23	0.673797891785875	0.989	0.738	1.76034675892408e-18	0.972084877040919
Early_EEC_vs_Goblet	GRAMD1A	9.50092542211287e-32	0.673370745624204	0.511	0.099	1.84802500385517e-27	0.971468635391743
Early_EEC_vs_Goblet	VEGFB	5.38225583681658e-21	0.673270871441232	0.933	0.463	1.04690258281919e-16	0.971324547403256
Early_EEC_vs_Goblet	KDM5B	5.03329119904657e-18	0.673140470087825	0.8	0.468	9.79025471126547e-14	0.971136418017371
Early_EEC_vs_Goblet	ASAH1	1.14735015179177e-14	0.671726902772234	0.778	0.633	2.23171078025018e-10	0.969097071461205
Early_EEC_vs_Goblet	ATXN7L3B	2.1599403983846e-23	0.669890318395678	0.967	0.521	4.20130006889789e-19	0.966447440288973
Early_EEC_vs_Goblet	ST18	4.97279623798691e-93	0.668983224017856	0.489	0.006	9.67258596250833e-89	0.965138779728471
Early_EEC_vs_Goblet	CAPRIN1	4.29409160299601e-20	0.667851392598148	0.989	0.608	8.35243757698754e-16	0.963505892152136
Early_EEC_vs_Goblet	RTN3	1.44463425674901e-26	0.666395251605783	1	0.853	2.80995809280251e-22	0.961405124763615
Early_EEC_vs_Goblet	GDI1	2.05764850080176e-20	0.663773207588753	0.689	0.318	4.0023320989095e-16	0.957622314863255
