comparison	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	avg_log2FC
EEC_vs_goblet	PYY	7.99466523342545e-28	5.7425178016206	0.5	0.013	1.55504233455358e-23	8.28470195461463
EEC_vs_goblet	CHGA	3.94395764918504e-122	4.40217997483083	0.75	0.003	7.67139202342981e-118	6.35100321878915
EEC_vs_goblet	PCSK1N	2.23977257187542e-177	4.27913490058392	1	0.003	4.35658162955487e-173	6.17348670036731
EEC_vs_goblet	GCG	9.23406703907563e-24	3.37786989261715	0.375	0.008	1.7961183797706e-19	4.8732361428469
EEC_vs_goblet	CRYBA2	1.5644335449624e-36	2.30452740583411	0.875	0.033	3.04297968830636e-32	3.32473025998957
EEC_vs_goblet	SCT	3.016593181152e-79	2.25620796727024	0.75	0.007	5.86757539665876e-75	3.25502004559494
EEC_vs_goblet	FEV	3.25801388500929e-212	2.19722457733622	0.875	0	6.33716280773158e-208	3.16992500144231
EEC_vs_goblet	TUBA1A	4.53956379498278e-10	2.01606176922348	0.875	0.156	8.829905537621e-06	2.90856231658455
EEC_vs_goblet	SCGN	4.39291326452111e-63	2.01458019848778	1	0.022	8.54465559082002e-59	2.90642486183142
EEC_vs_goblet	MS4A8	7.23426511496614e-30	1.99707451599016	1	0.058	1.40713690751206e-25	2.88116950050473
EEC_vs_goblet	INSM1	2.94768244749714e-63	1.97225390998666	0.875	0.015	5.73353712862668e-59	2.84536093531162
EEC_vs_goblet	CACNA1A	9.15905894531763e-46	1.87731052937256	0.875	0.025	1.78152855545373e-41	2.70838659093442
EEC_vs_goblet	NEUROD1	5.03831059906858e-182	1.81237875643079	0.75	0	9.80001794624829e-178	2.61470984411521
EEC_vs_goblet	C2CD4B	2.23170898596035e-20	1.77168925476376	0.625	0.031	4.34089714859147e-16	2.55600730184394
EEC_vs_goblet	SCG5	1.48236007738833e-12	1.7308672602435	0.75	0.086	2.88333858652805e-08	2.49711361279037
EEC_vs_goblet	CPE	6.54975214247605e-25	1.68148168075431	0.75	0.037	1.27399228923302e-20	2.42586528216988
EEC_vs_goblet	GCH1	2.09897439721728e-06	1.4608924092452	0.625	0.129	0.0408271510002732	2.10762223409037
EEC_vs_goblet	PRPH	5.02129766332978e-137	1.41433998447741	0.75	0.002	9.76692608494276e-133	2.04046128173653
EEC_vs_goblet	BEX2	6.06277909473024e-12	1.22305988544189	0.625	0.058	1.17927116171598e-07	1.76450243143724
EEC_vs_goblet	RTN1	8.68261472627509e-122	1.21639532432449	0.5	0	1.68885539040777e-117	1.75488750216347
EEC_vs_goblet	CAMK1D	1.62384821245005e-08	1.11525858693407	0.625	0.082	0.00031585471580366	1.60897803267862
EEC_vs_goblet	EGR2	1.15187453355469e-06	1.11358583045827	0.5	0.072	0.0224051115521722	1.60656475520637
EEC_vs_goblet	SMIM24	2.52496393399302e-08	1.04306156510389	0.75	0.129	0.000491130734800982	1.50481974731727
EEC_vs_goblet	KCTD12	1.32820524195891e-09	1.03956582839478	0.625	0.076	2.58349201613427e-05	1.49977646530277
EEC_vs_goblet	PAX6	6.13930765235539e-109	1.00887487636924	0.625	0.002	1.19415673145965e-104	1.45549878101537
EEC_vs_goblet	SLC29A4	2.01836204063524e-06	0.917035487587341	0.5	0.077	0.0392591600523961	1.32300255026145
EEC_vs_goblet	VWA5B2	3.65606551991916e-28	0.892908371639256	0.625	0.021	7.11141304279475e-24	1.28819447973219
EEC_vs_goblet	GNG2	9.84090102147278e-98	0.864087933103764	0.5	0.001	1.91415365768667e-93	1.24661537598079
EEC_vs_goblet	RIIAD1	1.30636808615244e-51	0.855939404539859	0.625	0.009	2.54101656437511e-47	1.23485953423111
EEC_vs_goblet	TM4SF5	9.6584836928113e-07	0.800198973534988	0.625	0.112	0.0187867166308873	1.15444309084337
EEC_vs_goblet	TMEM63C	6.91330577881444e-12	0.786659361920315	0.375	0.02	1.3447071070372e-07	1.13490956031131
EEC_vs_goblet	TRMT9B	5.16834252677003e-09	0.776937676869414	0.375	0.027	0.000100529430488204	1.1208841334993
EEC_vs_goblet	LY6H	4.42915540234527e-35	0.747422574697722	0.375	0.005	8.61515017310179e-31	1.07830284196486
EEC_vs_goblet	RAB3B	1.3471968236477e-06	0.730670183299979	0.5	0.07	0.0262043254167714	1.05413424997231
EEC_vs_goblet	BNIP3	1.37279044372217e-20	0.711022639650631	0.625	0.03	2.67021469208399e-16	1.02578883618375
EEC_vs_goblet	NOVA1	5.25022806210599e-28	0.678693451069348	0.5	0.013	1.02122186036024e-23	0.979147676141564
EEC_vs_goblet	CXXC4	6.01000067217588e-07	0.674219170674427	0.625	0.105	0.0116900523074493	0.972692654004265
EEC_vs_goblet	DSEL	4.81223836969898e-08	0.653016963023823	0.375	0.032	0.000936028485290149	0.942104334170842
EEC_vs_goblet	MCOLN3	5.64391004937135e-40	0.624069386988955	0.375	0.004	1.09779694370322e-35	0.900341809779581
EEC_vs_goblet	SMIM32	5.13190102366461e-19	0.613258470884739	0.375	0.011	9.98206068113004e-15	0.884744954728562
EEC_vs_goblet	GPBAR1	3.02925898201328e-13	0.608788190753836	0.375	0.017	5.89221164591403e-09	0.878295703752323
EEC_vs_goblet	B3GALT5	1.71726245883042e-06	0.573243253334424	0.5	0.068	0.0334024720867105	0.82701519880863
EEC_vs_goblet	AC024610.2	6.15448825280576e-35	0.552362809630407	0.375	0.005	1.19710951005325e-30	0.796891086225283
EEC_vs_goblet	DEFB1	2.58584855545744e-07	0.503873804927187	0.375	0.035	0.00502973402522028	0.726936239602306
EEC_vs_goblet	HOXD-AS2	1.20463563582508e-11	0.459462338127318	0.375	0.02	2.34313677524336e-07	0.66286403669153
EEC_vs_goblet	ATG16L2	2.63006174710169e-07	0.441887193305811	0.375	0.035	0.0051157331042875	0.637508462414635
early_EEC_vs_EEC	ISG15	2.50237921541143e-06	3.10518886643382	0.993	0	0.0486737781189678	4.47984057862769
early_EEC_vs_EEC	PPP1R14B	2.1142864682388e-06	2.42085576702748	1	1	0.0411249860937129	3.49255660979799
early_EEC_vs_EEC	S100A4	1.87782668519333e-06	2.20876633777639	1	0	0.0365256068536954	3.18657624199248
early_EEC_vs_EEC	MTRNR2L12	2.00688026808491e-06	2.18973390560706	1	0	0.0390358280945196	3.15911824648573
early_EEC_vs_EEC	PSMD12	1.80598541828694e-06	1.72622542784898	1	0	0.0351282223710992	2.49041686421416
early_EEC_vs_EEC	TXNRD1	1.85691265351459e-06	1.62718985789255	0.993	0	0.0361188080235123	2.3475387385664
early_EEC_vs_EEC	EIF3H	2.48597925570792e-06	1.58903809192817	1	1	0.0483547825027747	2.29249737500844
early_EEC_vs_EEC	SUZ12	1.88977191153837e-06	1.56362837640281	0.993	0	0.0367579534513328	2.25583890442959
early_EEC_vs_EEC	PARP14	1.87477187740156e-06	1.53187967808823	0.985	0	0.0364661877873377	2.21003521481647
early_EEC_vs_EEC	SCD	1.53454756553866e-06	1.48903951941173	1	0	0.0298484846972925	2.14822993034299
early_EEC_vs_EEC	AGO2	1.61463076723675e-06	1.48397621745519	1	0	0.0314061830535219	2.14092512971976
early_EEC_vs_EEC	EPRS	1.48767104215586e-06	1.4754799896261	1	0	0.0289366894409736	2.12866766396448
early_EEC_vs_EEC	URI1	2.15556940580998e-06	1.43543982818878	0.985	0	0.0419279805124099	2.07090192162246
early_EEC_vs_EEC	PDCD10	2.07268213943974e-06	1.41207847827561	0.985	0	0.0403157402942423	2.03719861795425
early_EEC_vs_EEC	HUWE1	1.71078819438654e-06	1.39187577095809	0.993	0	0.0332765411690126	2.00805227229473
early_EEC_vs_EEC	STIP1	1.6585013494878e-06	1.38815829455795	0.993	0	0.0322595097488872	2.00268908752764
early_EEC_vs_EEC	TAX1BP1	2.26883045572415e-06	1.28381004041124	1	0.875	0.0441310211942904	1.85214637874476
early_EEC_vs_EEC	ARMC10	2.48971626620215e-06	1.25489289475319	0.97	0	0.0484274710938979	1.81042775610723
early_EEC_vs_EEC	DCUN1D5	2.07537132324542e-06	1.24419760563645	0.97	0	0.0403680476084466	1.79499771553762
early_EEC_vs_EEC	PIK3C2A	2.43587381862805e-06	1.23121041010963	0.97	0	0.0473801816461343	1.77626115295604
