0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
NR4A1	IMPA2	FAM91A1	CKAP2	BUB1	CDCP1	SELENOW	RBPJ	PYGB	SLC16A7	KDM7A	PREP	ETS2	CELF2	PPARG	USH1C	SERPINB1	JAKMIP2
GRAMD1B	RELB	ALPK3	CDC25C	CNTRL	ATP1B3	SEMA3C	UNC5B	SYNE2	DOCK4	TOX	CLSPN	TLE4	SLC4A7	ACTG1	PKIB	NFKB1	MBOAT2
FRAS1	ATP11A	IFI6	CENPE	SMARCA1	NTSR1	RGCC	GOLGA3	C1orf21	L3MBTL3	CSRNP3	RAPGEF5	NUB1	TSHZ2	RNF213	CDK1	SLC3A2	RAB3C
CNKSR3	EMP1	HMCN1	E2F7	TGFBR1	SEC24D	KRT80	NEDD4	COL27A1	HIPK2	CA8	CDC45	TAF1D	MAP2K6	PLEKHB1	CTH	NRP1	CXXC4
TACC1	KIAA1551	SLC9C1	PHIP	CD46	DCBLD2	CFH	CYP51A1	ZNF280D	CEP170	MAGI1	C1orf21	HOXB3	CEP170	AIFM2	TBC1D31	ANXA1	MAP2
TRPS1	WNT2B	SLC1A1	PDS5B	FAM83D	TMSB10	CD9	SLC20A1	ZKSCAN1	ZNF254	PDZRN3	PRKDC	SLC40A1	KCTD3	ITGA2	C12orf49	SPINK1	IFT81
LIPH	TCEAL9	MACC1	CEP55	ZNF107	DNAJC3	MIR222HG	SESN2	ATP1B1	LRP5	KLHL32	CENPK	MET	PCLO	HKDC1	CHEK1	TMCO3	TFDP2
PAM	MKNK2	LAP3	EZH2	IP6K2	RAD21	CTTNBP2	ACSL3	TRIM2	SLC12A2	MARCH3	FAM111B	TRIM2	ARHGAP24	SQLE	MCM5	QPCT	MYT1
LAMB1	HERC6	PLSCR1	TP73	KIF14	DST	CDCP1	PYGB	PCMTD1	MAGI1	C12orf42	ECT2	TNS4	EPB41L2	RABAC1	ARHGAP18	KLHL5	ZNF608
SBSPON	ARRDC4	FBP1	KIF2C	TLE4	PARP14	TRPS1	SPTBN1	ATP2B1	KCNH8	SHANK2	KIF11	MCM4	MAPRE2	IFI6	ARHGAP29	ARID3A	RFX3
YPEL2	MYH14	SLC12A7	NCAPH	KIF2C	DBF4	UCP2	DBF4	CD46	CTPS2	GSTA4	CNTRL	RPL28	IQGAP2	TXNRD1	EIF2AK2	LCN2	ZNF100
CFTR	TRANK1	PIK3R1	NEDD4	GPSM2	UBXN4	ANKRD29	DAAM1	NIPSNAP1	ODF2L	COBL	NCAPG	ARHGAP23	STXBP6	S100A10	DEPDC1B	DECR1	EPHA4
KITLG	ATP10D	POMP	JADE1	CKAP5	HECTD1	CHRNA5	RAD21	PSMC4	GPR173	ATP2A3	GGH	COG2	TACC1	UTRN	PDLIM7	MSN	PDZRN3
GPRIN3	IGFL2-AS1	SLC3A1	MIS18BP1	PTTG1	SERPINE2	CFTR	SC5D	AGR2	KIF3C	JAKMIP2	ANLN	ZC3HAV1	KIAA1211	PDLIM7	FMNL2	RERG	CCNJL
ZHX3	TAPBP	PARP9	SARS	BRD8	ALCAM	PPARG	SLC9A2	ITGB8	RERE	GPR153	PRIM1	SLC12A2	VPS13A	PSAT1	GOT1	DPP4	SSBP3
VPS13A	KIF23	LMO7	ZNF107	USP13	GOLGA3	KRT20	SEL1L	NOSTRIN	BAZ2B	GALNT8	SMC4	HIST1H2AC	FANCL	HSP90B1	SAE1	NFKBIZ	PHF6
