0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
GCNT1	GLIS3	NCAPG	TM4SF1	ANXA13	PLK1	CUEDC1	TSPAN3	INSIG1	SKA2	FNBP1L	SNX6	MEGF9	PTBP3	LGI4	GPR160	PNO1	FARP1
LGALS4	TRPM6	CKAP2	SVIL	CADPS	SORL1	KLHL24	TJP3	MYEF2	KNL1	ITGA9	LARGE2	PKDCC	ROBO1	CAB39L	DNAJC3	DST	KIAA0355
DEPTOR	KRT20	POC1A	MXI1	QSOX1	PAPSS2	BRD8	TSEN2	KLHL7	ATAD2	NINL	RFC1	FRYL	ADGRG7	KDELR3	GMDS	GCNT1	SLCO5A1
TUFT1	PRKAA2	NUF2	SQSTM1	TOX3	LINC01473	ACSL3	BAZ2B	CSGALNACT1	LMNB1	PALLD	ABAT	LNX1	GPSM2	ITGA6	SERPINE2	RASSF6	ANXA13
FGGY	ZDHHC11B	PBK	IARS	AGR3	TINAG	PRSS3	PLCE1	SMIM2-AS1	CTNNAL1	GPR160	CEACAM6	NBR1	ANXA2	PIGZ	FAM214A	NCKAP5	NCOA1
RPS6KA6	HMGCS1	KIF2C	CLTB	YPEL1	PPP1R3B	CIT	NBR1	ATF3	ASRGL1	SLC7A8	SLC7A1	ALCAM	GK	RNASEH2B	RAI14	OLFM2	SELENOP
INSIG1	SEMA3B	ARHGAP11A	XRCC5	HBP1	ACHE	ENAH	MYB	DOCK11	KIF11	ADD3	EPSTI1	MSH6	SRGAP1	TMPO	FGGY	FAM214A	RAP1GAP2
PARM1	EHF	DIAPH3	SLC22A3	NTN4	SESN1	MSX2	CAPN5	USP14	MIS18BP1	FGGY	EPB41L2	NOC3L	LMO7	BUB3	TUFT1	MBNL2	CA8
AKAP7	MTHFD1	BIRC5	MTHFD1L	KCNMB2-AS1	RFC4	PKDCC	MYOF	GPR161	CSE1L	STK38L	MCM6	KMT5A	IGF2BP2	PAPSS2	SVIL	NBEA	MBOAT2
SLC12A2	PELI2	EXO1	RPS6KA6	XRCC5	CYB5B	MSH6	MYH14	PPP1R9A	NSD2	GNG4	LRRC19	UBE2H	SSFA2	LDHA	EMB	C1GALT1	ZBTB10
TRHDE	MXI1	CENPF	BMP2K	CAMK2D	INSIG1	NEIL3	LGALS4	ZNF254	RB1	CCDC175	SLC26A2	KLHL24	EMP1	TSPAN1	TRIB3	TMEM263	DOCK4
ANXA3	BNIP3L	CKAP5	MYO7B	UTRN	GPRC5A	CENPF	PARM1	NINL	ANLN	QSOX1	CA12	QSOX1	ETNK1	CCT3	DIAPH2	GPRC5A	TCF4
C1GALT1	EMP1	SKA2	GLS	JPH1	RHOBTB1	OIP5	VSNL1	C15orf48	NCAPG	KIDINS220	TMEM45B	FTH1	CDK19	MCM7	LRMDA	PTBP3	UTRN
HBEGF	GPSM2	CCNF	MYOF	ROBO1	NEDD9	SPDL1	RAB40B	PROX1	NDC80	C1GALT1	WARS	ZNF827	DPYSL2	FTH1	APPL2	MYOF	MAN1A1
SLC7A1	GMPS	SKA3	PRSS22	CHD6	SGO2	TSC22D2	CDA	FAM155A	KIF15	LRMDA	AKAP7	FDFT1	SERPINB5	MDC1	THBS1	ANXA3	PPP1R9A
MXI1	ACHE	GTSE1	ITGA6	SMPD3	ATF3	VEZF1	ANXA4	UBE2T	SPC25	RAP1GAP2	CMSS1	SH3KBP1	LURAP1L	ARHGEF39	GLIS3	PRAG1	YPEL1
NFAT5	BRCA1	TTK	BRCA1	GPR173	FOS	KIF20B	SRGAP1	SORBS1	NCAPD2	AMOT	WDR43	MET	HIF1A-AS2	ELOVL6	ABAT	RHOQ	LRMDA
AC116345.1	CDKN2B	KIFC1	INSIG1	RBMS1	TRIB3	BUB1	EEF2K	BMF	KIFC1	MACC1	PIGZ	ME1	KLF7	CCNB1	EZH2	DSP	UBE2Q2
HEATR5A	EFNB2	CEP55	SPAG9	RETREG1	BRMS1L	KDM5B	ZNRF3	SEMA3B	CDC25C	DPYSL3	TMEM200A	TNFRSF11A	AKAP7	ARL6IP1	USP14	ANPEP	TSPAN5
TNRC6B	INPP4B	KIF22	HMGCS1	HPCAL1	AKAP9	HMGN2	TNFRSF11A	BRCA1	KIF23	LIMA1	ROBO1	SSFA2	MAML2	SKIL	RFC4	WARS	MARF1
ZBTB10	FNBP1	HJURP	NBEA	RAB37	PLEKHB1	RRBP1	SLC12A2	DHRS3	HACD3	PRKACB	MAP4K4	ZNF92	ACSS2	COCH	GPRC5A	IARS	ELMO1
DNAJC3	FAM155A	NDC1	C1GALT1	KRT19	SEMA6A	CDC42EP3	MAP2K6	GPSM2	BUB1	PLCB4	PLEKHA2	ERLEC1	TSPAN1	SLC39A5	TMEM45B	ATP9A	ETS1
TRIM24	BMF	NUCKS1	WDR43	KIAA1324	CHST11	EAPP	COL17A1	LEF1	DEPDC1B	SPTLC3	GALNT1	MVP	GULP1	ACE2	NUP107	MACC1	NTN4
DIAPH1	GULP1	KIF18B	WARS	MDK	SNHG18	POC1A	SLC5A1	SLC2A12	BRIP1	PGBD1	INPP4B	TGFBR2	DSP	LGALS1	PIK3R1	STT3B	CALCOCO1
