0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
AC019197.1	MIA2	GTSE1	ATP9A	ST6GAL1	SPINK5	KIF18A	SARS	ABCC4	HELLS	A1CF	MAP2K6	FAM102A	NFKBIZ	GALNT7	CALB2	PPL	GALNT7
SLC38A11	S100A10	INCENP	ZNF432	ARSJ	SOBP	CHEK2	TMC5	TRPS1	TFDP2	GPR173	KIAA1211	CTNNAL1	SNCG	JUND	SESN2	TM4SF4	GAS2L3
FBXL4	BCAS1	GAS2L3	UBC	NEURL1	AGR2	BORA	RALGAPA2	PAM	NUSAP1	EREG	ZNF615	CARS	SEMA3B	MSMO1	DUSP5	ANXA3	BBS4
HOPX	NFKBIZ	KIF14	TMEM106B	DIXDC1	MAP3K1	DLGAP5	FNDC3B	IFI44	CENPN	GNE	CEMIP	ALDH1A1	ATP9A	LGALS4	SULT2B1	MSN	ZNF260
IQGAP2	BHLHE40	KIF20B	DEK	RIMBP2	SQLE	MYEF2	GPRIN3	CLEC3A	KNTC1	SOX6	HNF1B	TNFSF10	CDA	DNAJC9	SNX9	DNAJC12	KLK12
RPL22L1	ANKRD29	NCAPG	XRCC4	CCDC125	SSFA2	HSP90B1	AKAP9	CEACAM1	PARM1	HEPH	PARD3B	TANK	SLC38A1	XBP1	ACAT2	PBXIP1	IFIT1
NEB	AKAP12	GPSM2	FDPS	IFIT1	KCNC3	GEN1	MYO10	CYP3A5	ANLN	KDM7A	AL450992.1	STAT1	SNTB1	ACAT2	HDAC9	OAS3	INSR
CD200	HSPH1	CENPF	ERN1	YPEL1	KRT19	INCENP	RARG	KRT19	SLC7A1	FMNL2	AGR3	SAV1	SPAG9	CTSS	LPIN2	SLC7A1	ARRDC4
FBP1	PLA2R1	HMMR	CAST	TOX	PPM1G	KNL1	PRKCA	ARHGAP18	CNTRL	STIM2	NPSR1	SLC7A5	GPX2	MRE11	RELB	MACC1	EXOSC8
EPS8	UACA	BIRC5	TES	SNX10	GNE	ANLN	SLC22A23	HERC6	NUP205	ARSJ	ZBTB20	SQSTM1	HMGCR	KLK10	PLEK2	CDC25B	LNX1
MS4A8	ASPH	CHEK2	HIST1H2AC	SLC36A4	WNT11	TPX2	LPIN2	SOBP	NSD2	SIRT2	ZNF737	MCM4	ANTXR2	BPTF	GPX2	FAM129A	ELMO1
GPRC5A	CXCL8	KNSTRN	DNAJC3	NAV1	PHLDB1	UBE2S	TOX3	CD55	USP37	CREB5	ZNF680	TSHZ1	HKDC1	NEB	TES	PLA2G4C	DNAJB11
HPCAL1	KLK10	KIF15	NASP	CA8	SIPA1L1	CKAP5	MCM6	SERPINE1	KIF15	SHANK2	PCLO	IPO5	ACSL3	DDX60L	LURAP1L	JUND	YPEL1
HNF4A	CAPRIN2	MIS18BP1	ANXA2	GALNT7	PLA2G16	CKAP2	TRNP1	MBNL2	TIMELESS	NTN4	PTGR1	MBNL2	GCLC	TNNC2	GCLC	ELL2	SH3PXD2A
LMO4	ZMYND8	NCAPD2	HERPUD1	SPTLC3	IGFL2-AS1	ECT2	MYLK	SCD	EXO1	CCDC125	IL33	LAP3	ABHD2	CACNG4	PSAT1	TRIM31	UBALD2
KRT20	FOXO1	RAD21	CTNNAL1	DECR1	CEACAM1	MCTP1	PYGB	LYPD6B	CIT	MYO1B	ST6GAL1	SMAD3	EREG	KRT20	ARHGAP18	TINAG	ZNF708
VIL1	DUSP5	KIF2C	CENPJ	WIPI1	VSIG10L	AURKA	FBXL4	UNG	ZNF704	ATF3	NEBL	ITGA2	AKR1B10	MX1	AMN1	SDC4	CTPS2
UTRN	AKR1B10	DLGAP5	PTGR1	ABCA1	SGK1	ANXA10	TSPAN8	GOLGA2	LMNB1	TSPAN1	TTR	ITGA6	SMIM31	SPC25	RHOQ	SERPINA1	PCLO
PLA2G16	XRCC4	FOXM1	LPIN2	MYO1B	GTF3A	SH3BGRL	TGFBR3	KCNC3	DTYMK	LGALS4	PCMTD1	EFNB2	DCBLD2	HACD3	GFPT1	CAST	ZNF736
PLD1	ETS1	CDCA8	OAS1	ETS1	SCD	KIF2C	USH1C	HERC5	RFC3	TEX9	LPIN1	UBE2H	ABCA5	MSN	ME1	CTSC	TNFRSF11B
SLC39A10	TSPAN1	HMGN2	TNIP1	BBS4	MDK	KIF20A	MOB3B	IFIT3	ITGB3BP	RCN2	ZNF618	HNRNPAB	TRIB3	TOP2A	USH1C	ANO3	ABCA1
PSIP1	UNG	CKAP2	MAP2	ZNF737	SMCHD1	GTSE1	INPP4B	ERO1B	PCNT	ZNF480	KPNA7	ZNF217	PTGR1	PNPT1	KPNA2	SMIM31	ABCA5
HOXB3	ACSL5	LMNB1	KLHL24	TXNIP	CDCA7	OAS2	TBXAS1	GBP4	XRCC2	NAV1	GMDS	STAT2	CARS	HAT1	FAM241A	MAN1A1	C20orf96
SERINC2	NTN4	PHTF2	HYOU1	NCS1	CRYBG1	ARHGAP11A	ARID5B	CACNG4	UHRF1	PRSS22	ZNF480	IFIT3	FTH1	HSP90B1	TMEM263	S100P	NCS1
BDNF	ATXN1	CDK5RAP2	GARS	FNBP1L	EEA1	RANGAP1	PARP14	ROR1	WDR76	FAM107B	C12orf57	ROCK2	TMEM263	MCM3	ODC1	DNAJC10	SYT13
CSPG4	DNAH5	CEP135	ASPH	ASRGL1	SLC20A1	NUP205	ABCC4	KYNU	ZWILCH	FAM222A	GRB10	IFI35	PIK3R1	KNL1	GULP1	BCL2L1	MS4A8
SPC25	PRSS3	DEPDC1	SLC38A1	SLC38A11	RARG	BRD8	PCMTD1	BTBD16	POLQ	RIMBP2	MYO10	ITGA1	NFKBIA	HAUS6	CXCL8	KLK10	SLC36A4
IBTK	BCAR3	RBL1	SLC38A2	MATN2	TMEM154	IKBIP	SEMA3E	UBL3	MKI67	ASRGL1	CALD1	FAT1	SEMA4B	NCAPD3	MCUB	CCNE1	CEP70
HSD17B2	RAB7B	GDF15	CMSS1	KLK12	UNG	VSIG2	SNCG	ANXA1	RMI1	TOX3	FXYD3	BRI3BP	RASSF6	PLA2R1	NUDC	SELENOW	ANKRD26
COLCA2	PLD1	EXO1	SESN2	AUTS2	PPARG	CEP135	MGAT5	PDGFC	TMEM245	SLC22A23	ATXN1	RIOK3	DNAJC9	MCM4	TCP11L2	H2AFJ	ZNF680
TRPS1	CD55	KIF18A	CCPG1	ERLEC1	RSAD2	ZC3HAV1	MUC13	TNFSF10	PARP1	SKIL	MSH2	PNPT1	ABLIM3	NCAPG	PEPD	FA2H	PLCL2
KIF13A	CPEB4	NOX1	MAPK6	GMDS	ANKRD29	TOP2A	CTTNBP2	CD82	SKA2	C20orf96	CYP3A5	GTF3A	DNAJC3	AURKB	PLA2G4C	AGR2	E2F3
