0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
STXBP6	EMP1	KIFC1	ATP9A	PDE9A	SLCO2B1	CIT	CHRM3	RDX	TFDP1	BAZ2B	SOCS7	SEC61A1	DNAH7	WIPI1	PREP	CERK	PLCG2
BAZ1A	RMI2	KIF18B	OSBPL8	PLA2G10	EEF2K	SLBP	ATP11A	PRSS22	TACC3	CUEDC1	BCAS4	PKDCC	P3H2	SNX6	CBX1	NHS	KAT2B
PSMD1	LTBP1	STAG1	ZC3H6	PRUNE2	MBNL2	RHOQ	GALNT5	PDZK1	CCDC18	ANO1	FAM111B	ZSWIM6	EIF4G1	GPX8	BRCA1	PRAG1	AC097468.1
TNRC6B	FAM155A	DEPDC1B	EPAS1	DAPK1	ARHGAP29	FAM117B	TJP3	IQSEC1	LMNB1	ITGA9	DHRS3	YPEL2	ALDH18A1	FXYD1	NCL	ATP2B1	GPR173
WDR43	NCL	NDC80	MGAT5	RSRC1	ANXA1	MSMO1	MISP	SMOC2	SKA3	ELOVL7	ANTXR2	SERINC1	FABP1	HNRNPD	COTL1	FAM155A	PDE9A
CCDC175	FSIP2	OIP5	ATP1B1	CBFA2T2	NEAT1	KIF14	PLCE1	ARHGAP29	TYMS	RGS6	SLCO2B1	TNFRSF11A	TSEN2	ESCO2	MFSD14B	ANXA2	JAKMIP2
ALDH18A1	EDAR	CCDC18	STXBP6	CAMK2D	ARHGAP18	PRSS3	CAMK2D	ADGRG7	BRIP1	HMGCS2	STK38L	CASP4	PFKFB4	KLF5	EZH2	LIMCH1	NFASC
SLC12A2	PDP1	HJURP	AC008467.1	KCNMB4	PDZK1	ARHGAP5	NRN1	ANXA1	CEP295	SQSTM1	GULP1	PRSS3	PRSS3	RND3	FAM214A	TM4SF1	PLCB1
ATP2B1	STX19	KIF14	USP14	ANXA13	RGS6	DEPDC1B	SLC2A1	NBEA	CSE1L	LGALS3	EPS8	SMURF2	NFE2L3	UQCC2	FABP1	CLTB	KLHL32
SEMA6A	CRYBG2	INCENP	ANXA3	GNG4	MACF1	MCM4	MYOF	AMOT	PBK	ST6GAL1	EZH2	ZNF92	HNF1B	CCT3	NUDT4	ROCK2	NINL
MFSD14B	SLC20A1	NCAPG	GOLIM4	COPG1	SLC1A1	NFKBIA	PLCB4	SLC5A12	FANCD2	CASD1	MCM6	LUC7L3	TRPM6	PCOLCE2	MUC13	GALNT1	F10
PNO1	TRPM6	AURKA	ESYT2	ISX	CCDC175	HMGN2	CERS6	PLEKHB1	KNL1	COTL1	MGAT5	RHOQ	CEMIP2	FUT11	GARS	EREG	PCLO
MACC1	ANXA2	CCNF	SLC20A1	CREB3L2	XBP1	SOCS7	C1orf21	CDYL2	EMP2	TSPAN5	ANXA2	FAT1	SLC38A2	BUB3	EPB41L2	TSPAN8	PAX4
EIF4G1	SERPINE2	SKA3	TMEM106B	YPEL1	VIPR1	KIF20B	GPA33	PRKAA2	DHFR	LGR5	GMDS	CREBRF	SLC3A1	CDKN3	ALDH18A1	SKIL	CYFIP2
TNFSF13B	GOLIM4	TACC3	LINC02588	SIPA1L2	SETDB2	ATF7IP	ZNRF3	LARGE2	BUB1B	RPS6KA3	PAG1	ARHGAP32	SLCO2B1	TOP2A	THBS1	NBEA	SUSD6
LRRC19	KDM1A	FAM83D	GDF15	CFAP65	CGN	CREBRF	DLGAP4	BMF	KIF23	RAP1GAP2	OSBPL8	TEAD1	BTG3	KLK1	CCDC175	ATXN1	DYNC2H1
STRN3	ABCG1	DLGAP5	PELI2	ZNF704	LGMN	KNL1	FAM117B	WDFY2	CDC25C	MGAT4A	ATAD5	SYNRG	SLC12A2	ID2	ANTXR2	MUC12	PPP1R14C
THBS1	EHF	NSD2	GALNT1	NCOA1	PIK3R1	RAD21	TNFRSF11A	SESN1	EZH2	SLCO3A1	LDLR	ATP1A1	FBXO5	BRIX1	PAG1	AMIGO2	YPEL1
PLA2R1	SYNPO	DIAPH3	ETS2	SEC24D	CNKSR3	FTH1	DAPK2	NKD1	CDK5RAP2	TMEM131L	BARD1	SESTD1	PDS5B	LINC01559	TRIM24	MFSD14B	BCAS3
ETS2	GPRIN3	CENPF	NUDT4	ELOVL7	COCH	GPX8	ZBTB38	GSTA4	ANLN	OAF	SRGAP1	RUNX1	MACC1	H2AFX	SEMA6A	ITGB8	STXBP4
MUC12	CFAP65	SPC25	CRYBG2	PCLO	CEMIP2	SNHG18	IL18	TIMP2	CKS2	MSI2	MMS22L	SLC6A6	HHLA2	PAPSS2	TBC1D4	SORL1	MATN2
COTL1	PDE5A	DBF4	SQSTM1	MAN1A1	IFRD1	EPAS1	EPB41L1	FLNA	NCAPH	FAM117B	KCNQ1	MARCH5	PNISR	CCNB1	ADORA2B	SERPINB5	FYN
EREG	LRMDA	SHCBP1	FAM13A	AARS	STXBP6	ARL6IP1	LAMA3	MND1	CIT	RUBCNL	TYMS	OPTN	TM4SF1	CHEK1	LAMC2	LRMDA	RGS6
SLC5A1	HSD17B2	TTK	TMEM200A	HPCAL1	PRSS23	COG3	SLC44A1	TRIB1	BUB1	TET1	PPARG	MYLIP	OSBPL8	LMNA	WDR43	SLC22A3	RCAN2
EZH2	COTL1	CENPE	INSIG2	KRT19	GOLIM4	CCNB2	KLF12	NEURL1B	KIFC1	FAM227A	MTHFD1	PRKACB	PREP	LGI4	SLC5A1	IL33	SLC25A29
HNF1B	MND1	CKAP5	MYO1D	UACA	EREG	BRMS1L	ZNF462	FOXP4	KIF4A	MYO1D	ACTL6A	SATB1	PLCE1	ARL6IP1	ELF1	GPRC5A	MARCH5
ROCK1	MACF1	GTSE1	SLC3A1	SLC22A23	PREP	GALNT7	STXBP6	RCAN2	HMGCS1	GALNT1	SEMA6A	MSH6	LIMA1	RIF1	TES	RND3	TMOD2
FAM13A	CHST11	STRIP2	GCNT1	CAPN9	PRKAA2	VEZF1	RFX3	SORBS1	TPX2	PLCB1	SLC30A7	C6orf223	SLC11A2	GPX3	KRCC1	ATP1B1	MEGF9
NEK5	SLCO2B1	ASPM	SERPINE2	CCDC14	PRAG1	MYEF2	ADD3	MDK	POLQ	KLF4	L3MBTL3	FOXP4	KIDINS220	DLL4	FHL2	ZBTB20	TIMP2
CNKSR3	MUC12	TXNDC16	TBC1D4	TACC1	SLC39A5	MZT1	GMDS	ITPR2	KIF11	ADAMTS6	MCTP2	IRS2	WDR43	S100P	ATP1B1	WNT11	INSR
ORC6	TMEM65	ZNF704	EHD4	CCDC136	ANXA3	LMNA	PHF14	CYP27A1	KPNA2	CCDC14	ELF1	FTH1	SLC26A2	INCENP	KRT20	SVIL	KIAA1324
NR5A2	BARD1	HMMR	TMEM45B	LINC01006	NR5A2	PCSK9	BAZ2B	PLCB1	POC1A	TFCP2L1	PTGES3	SH3KBP1	SOCS7	NCAPD3	EPHX2	SQSTM1	MYLIP
BDH1	CNKSR3	CIP2A	SLC5A12	KIAA1211	LINC01006	ACSL3	CLMN	NINL	BAZ1B	KIDINS220	HNRNPD	SESN3	CKS2	SLC3A2	LRMDA	ITGA9	MGAT4A
SLCO2B1	ANXA1	NUP107	LURAP1L	SOAT1	P4HA1	CSRNP2	BLMH	THRB	CIP2A	NCOA1	MYO1D	EDEM3	BTNL3	EMP1	KDM1A	ADAMTS6	SETBP1
SLC2A1	SORBS1	SGO2	ACTL6A	FCGBP	CBX4	PTPRD	SLC22A23	FAM111A	ACAT2	CCDC136	DKC1	NUP58	MEGF6	PEPD	AKAP7	LBH	TMEM131L
GCNT1	ABCB1	SKA2	HNF1B	RAB3C	FABP1	UBE2D1	SEMA5A	LRMDA	MND1	SORL1	CHD6	TMBIM1	SYNRG	NEAT1	NR5A2	PHF20L1	PRUNE2
INSIG2	FBXO32	CEP295	TPMT	IFT81	XPOT	TOP2A	CEACAM1	KAT2B	BLM	TLE4	MGAT4A	CDKN2B	PNO1	PLEKHB1	LDLR	LEF1	MYEF2
GALNT1	ASS1	PARPBP	HEPH	SLCO5A1	PTBP3	ZNF738	PPARG	GAL3ST1	MMS22L	GDF15	STT3B	SETDB2	UACA	HKDC1	BDH1	STXBP6	WDFY2
LDLR	ABCA5	POC1A	LPCAT2	HERPUD1	PLXDC2	NUF2	SLC12A2	IFRD1	MKI67	LAMC2	SMC6	CCDC47	TMPRSS2	RHOU	SMC5	EFNB2	PHF21A
CBX1	THBS1	NCAPH	E2F8	NBEA	VAV3	CCDC18	POU2F1	FYN	PARPBP	KRT20	WNK4	ARRDC3	SDCBP2	COCH	GPRIN3	UACA	RASSF6
VAV3	PNPLA7	LMNB1	RNF43	MDK	NEK5	XRCC2	LRIG1	TP53BP1	CKAP2	MFSD14B	SMIM2-AS1	PMEPA1	S100A10	NFE2L3	ASS1	GDPD5	NEURL1
PLEKHA2	BRCA1	NUCKS1	NCL	KDM5B	EZH2	CD24	PREP	RCBTB1	DNMT1	MEGF9	CSE1L	PNPLA8	SNHG18	FTH1	PIP5K1B	GABARAPL1	SLC29A4
IDI1	PLA2R1	CEP55	ASS1	MYO1D	PNISR	NEURL1B	C6orf223	TFCP2L1	PDS5B	FAM222A	CHEK1	TXNDC16	BRCA1	ST6GALNAC1	GABRA2	S100A10	AMOT
OSBPL8	RIMS2	FOXM1	ATAD5	MBNL2	ITGA9	TPX2	CHD6	GPRIN3	ECT2	LDLR	PLA2G16	PHC2	TBC1D4	GCC2	RNF43	KRT15	LRRC49
BMP2K	CLTB	CDK5RAP2	PREP	F10	BRCA1	FAM177A1	TTC3	NR5A2	ASF1B	MUC4	TK1	LINC02313	RUBCNL	NFKBIA	GOLIM4	TMCC3	DOCK4
NFIB	ATAD5	SLC3A2	TNRC6B	STMN1	SPINK1	HSPH1	MCM5	ZNF273	KIF18B	ULK1	GCLC	COL17A1	MVD	MDK	SLC2A1	CNKSR3	DTNB
RPS6KA3	RAI14	TP73	BCAS4	FBXO32	SNHG18	RANGAP1	ATP9A	SNTB1	KIF20B	MYRIP	KIAA0355	DLL4	NR5A2	KLHL24	GMDS	TBC1D4	ARL13B
TES	HNRNPD	DEPDC1	APPL2	RAB27A	LARGE2	ACVR1C	LIPH	C3orf52	AURKB	DOCK4	XRCC5	MCM6	PIP5K1B	C11orf24	SPAG1	USP14	ARHGAP32
STK38L	SYT17	BORA	ADAMTS6	MAP3K20	CBX1	EAPP	RALGAPA1	ANKRD37	SEMA5A	RCBTB1	PIP5K1B	F3	CFTR	KIF22	EPB41L1	MAP4K4	RIMS2
RNF43	ZC3H6	ARHGAP11A	PSMD1	ATP2A3	AC008467.1	CEMIP2	VSNL1	GABRA2	MCM3	HPCAL1	RFC2	ACVR1C	LRP4	C21orf58	RGS6	F13A1	PELI2
SRPK1	TNFRSF19	NCAPG2	EMB	SESN1	TNFSF15	HMGCR	SLC22A3	MAST4	GALNT12	IMPA2	PPP1R14C	HBP1	CDK6	TSPAN1	TRIB3	NKD1	ELL2
TIMELESS	LRRC19	TMPO	SLC2A1	GNA14	SYNPO	FOXA3	SLC1A1	KLHL24	EXOSC8	ANTXR2	FAM222A	KDM5B	TYMS	SHF	EPHA2	FABP1	KLK12
HAT1	CBX1	CKS2	MTFR2	COLCA2	PLSCR4	CALB1	SATB1	FAM155A	WDHD1	DLGAP4	CIR1	TSPAN8	ARFGAP3	ZNF367	WARS	RHOQ	PPP1R9A
DDX21	GAL3ST1	MELK	PRKAA2	MUC2	KDM1A	SQLE	EFNB2	NEDD9	NUSAP1	SIDT1	MYOF	SLC30A7	LPIN1	MCM4	PNO1	STK38L	SOAT1
RSRC1	NEK5	IARS	WNT11	PPM1L	MAML2	PKDCC	TRIB3	TGFBI	MTHFD1L	DHRS3	STXBP6	IL18	MCTP2	RFC4	SVIL	SLC36A4	LAMB1
GPRC5A	MXI1	CENPK	CBX1	RPS6KA3	MUC13	MSH6	SYNRG	TMEM131L	SHCBP1	TMEM106B	DDX46	TNS4	THBS1	RNASEH2B	ATP9A	TINAG	GPRIN3
PPP1R3B	INSIG1	MIS18BP1	XBP1	NXPE1	XRN1	SLC25A19	LPIN1	AC008467.1	CCDC14	CAMK2D	EPAS1	FNBP1L	ESYT2	SRPK1	BTG3	TGFBI	ANXA13
DDX46	TRIM24	CENPJ	RGS6	ULK1	ZNRF3	OIP5	PLS1	BRCA1	FOXM1	HBP1	DHFR	UBE2H	PIK3R1	STMN1	TIPARP	EZH2	HIP1
EPS8	ATP2B1	GAS2L3	SVIL	RAB37	BTNL3	KLF5	SETDB2	STX19	DTYMK	CADPS	NME5	COPG1	CERK	CCDC47	PSMD1	LARGE2	DLL1
UHRF1	TRIM31	CEP78	GPRC5A	HDAC5	BAZ1A	DLL4	ELF1	RTN2	ATAD2	ATL1	RAB3D	YPEL5	RPS6KA3	CAB39L	SYNPO	IARS	PTK7
MBNL2	PPP1R14A	CNTRL	LIMCH1	CHD7	APPL2	DNAJC10	HIPK2	EMP1	MTHFD1	EREG	PLK1	LIMA1	SI	IL1R2	EMB	GOLIM4	PLCB4
FAM214A	CHEK1	CDKAL1	BAZ2B	NINL	SLC5A1	PHIP	HEPH	CFAP65	C1orf21	CDYL2	MIS18BP1	UBE2D1	RASSF6	CYP3A5	PTBP3	ANXA4	PHF20L1
EFNB2	MACC1	MZT1	ITGA9	HBP1	LRMDA	STXBP4	TMEM45B	ELOVL7	FAM161A	ESYT2	USP1	CDK6	ITGA6	DSG3	STX19	TPM1	TET1
EPB41L1	CCNE2	NEURL1B	SLC5A1	TMCO3	ATXN1	ZNF273	MYO1D	TIPARP	DEK	RAB30	SESTD1	NOC3L	LGI4	DKC1	PPARG	PLA2G16	RAB37
BCAS3	KRT23	MDC1	LIMA1	PRKACB	PPP2R3C	MCM3	EFNA1	EREG	NUF2	SNX10	IL33	PBXIP1	CBX1	C6orf223	SMC6	TRPM6	UTRN
CERS6	SLC22A3	DSN1	NR5A2	WDFY2	CHST11	CIR1	MYB	UQCC2	MIS18BP1	KLF7	PLSCR4	SESN1	EPB41L1	PDCD4	ROCK1	PDZK1	RBMS1
GOLGA2	LBH	TGFBI	BTG3	STRIP2	RHOBTB1	UBE2S	SEMA6A	FABP1	TNFAIP8	IL13RA1	FAM126A	GSN	RAI14	HELLS	PELI2	RAB30	ATP2A3
HEPH	LINC01133	FDPS	CNKSR3	OLFM2	PRSS22	SYNRG	MTUS1	EZH2	KIF22	PDE9A	CEACAM5	RRBP1	TSPAN8	NCAPH	LPCAT2	CHRM3	SHROOM3
RHOBTB3	DIRAS2	CAMK1D	PLEKHA2	ARL13B	BRMS1L	BRI3BP	ALDH18A1	SMC3	CAMK1D	KIF21A	DNAH7	EFNA1	ANXA3	ELOVL6	ANXA4	EDAR	CEP170
ADAMTS6	BMF	ALCAM	ELL2	FOXA3	SORL1	FUT11	IL1R2	RGS6	NDC80	EHF	BTG3	SSFA2	TFCP2L1	AARS	EFNB2	PAG1	KCNMB4
TYMS	ABTB2	HMGN2	EFNB2	RETREG1	CCNE2	KIF18A	PTPRO	KIF16B	RAD51AP1	NINL	TRIM24	GALNT5	SYNPO	CFTR	LRRC19	ASS1	CBX1
