HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
CD55	TRIB3	STXBP4	SOAT1	SEC61A1	ATP9A	SERPINB1	SIRT2	DNAJC12	MATN2	ITM2B	DNAJB9	NBAS	SELENOW	ARID4A	MAML3	GABPB1-AS1	MTHFD2	PLK3	NFKBIZ	AC019197.1	HEPH	RRBP1	MYRFL	SYNE2	ANXA2	TCP11L2	SLC29A4	SKA2	PLA2G4C	SLC16A7	RGCC	CCNB2	ALDH1A1	SAMD9L	NCAPG
BPTF	HYOU1	CHRM3	KIAA1549	JMY	FNDC3A	RHOU	TTC39A	DST	TOX	GAS2L3	PSAP	ABL1	NR2F1	IP6K2	IFT81	HERC6	DIAPH3	KLK10	HNF4A	TUBA1A	DDX10	ARID4B	DDX10	SAMHD1	PKIB	VMP1	ST6GAL1	CEP55	AP001453.2	FIRRE	GNE	DEPDC1B	UTRN	GRAMD1A	CNTRL
NEDD9	TOP1	AC018618.1	ST6GAL1	ONECUT2	SLC38A1	PERP	SDCBP2	C17orf75	DACH1	KIF23	SEL1L	PDZRN3	LRIG1	MYEF2	GATA2-AS1	IGFL2-AS1	LRP6	ENC1	CYP3A5	SORBS2	SHANK2	SAMD9	MIR222HG	PLEKHH2	CAST	NFKBIA	GOLT1A	DIAPH3	ITGAV	RGS12	SLC14A1	NUF2	HOXB-AS3	IFIT3	TK1
CTGF	SEL1L3	TNS3	LINC01184	BMPR2	ADAM17	CFTR	PNPLA8	QPCT	SSBP3	EEFSEC	GOT1	MARCH3	KIF3A	KIF18A	TRAF3IP1	MAST4	TYMS	EPSTI1	PLA2R1	NREP	CADPS2	TMEM140	BCAS1	RFC2	DDX10	MYOF	NTN4	TTK	DNAJC9	SLCO5A1	RNF24	PTTG1	SIL1	ZBP1	PRKDC
KRT18	ALPK3	AUTS2	AGR3	FAT1	NAMPT	HNRNPU	NDRG1	NFKB1	ADAM22	CDC25C	HYOU1	CBFA2T2	MAML3	CBX5	AGR2	ZBP1	RAD51AP1	FAM13A	PLD1	PLCL2	ZBTB20	ARHGAP23	SMIM31	IKBIP	CAPN2	KLK6	JAKMIP2	CENPE	XRCC4	CGNL1	CLEC3A	CENPE	MYH14	TFPI	ANLN
AGR2	GOT1	CPLANE1	HNF1B	AFF4	DST	EZR	ANXA3	TFPI	KIAA1211	TOP1	ANXA5	CA8	ITPKC	SLBP	COBLL1	KRT19	CEP152	HEPH	CXCL8	SCG5	KCNK1	SLC12A2	CYP3A5	GALNT7	USH1C	TMCO3	PGM5	ARHGAP11A	PRSS23	SLC44A5	SERPINE1	CENPF	SLC12A2	RSAD2	SMC4
CHD2	XBP1	KLK12	ITSN2	CHD4	PSAP	GUSB	CTH	CDKN2A	ENPP2	NCAPG	ATP1B3	CSRNP3	PPP2R3A	CCNB2	ITM2B	KLF10	KIFC1	PLD1	MVD	DNAH5	C20orf96	IRS2	TAF15	CTSS	NCL	LCN2	SLC38A11	KIF11	TMEM41B	TEX9	ABCC4	ITPR2	FRY	WWOX	RAD51AP1
S100P	LAMB3	DNAH7	FAM210A	ROCK2	ACSL3	PNPT1	SMCHD1	LAMC2	TOX3	FNDC3A	AFF4	AC104574.2	BHLHE41	MZT1	AC103702.2	DDX39A	RRM1	FRAS1	EPSTI1	ICK	PLA2G4A	CBX5	ATP9A	TTR	PTGR1	KLK10	IRAK1BP1	PLEKHH2	TXN	CACNA2D2	SQLE	PARPBP	ST3GAL1	ATP9A	TYMS
PER2	PDK4	TRAF3IP1	SPTBN2	MIRLET7BHG	GCLC	IFI6	GRB10	MYOF	RETREG1	CBX5	LYST	PALLD	KRT80	AC103702.2	CD55	IFIH1	BUB1B	ADAMTS6	HMGA1	GNE	KCNH8	ONECUT2	MSN	BORA	MPC1	ABHD2	PLPP1	ALDH7A1	EIF5	DACH1	FRY	ASPM	LIMCH1	ANKRD29	ZDHHC14
ATF3	CBFA2T2	GDF15	CREB5	ID2	DBF4	MAML3	TRIM24	LCN2	CXXC4	INCENP	NEAT1	MAGI1	KRT20	CIT	MUC12	EIF1	ATAD2	ETS2	RABGAP1L	FKBP7	ZNF253	PMPCA	ME1	PLA2R1	CXCL8	NRP1	DECR1	SMC4	RELB	IFIT1	LINC00920	DEPDC1	BCAS1	IFIT2	RAB27A
